"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"population-dynamics-migration.nlogo"
"experiment probOpenness"
"02/07/2025 16:30:57:641 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","probReproducing","isPeopleVisible","minInitialSettlementPopulation","minNecessaryProsperity","seed","maxMigrationDistance","maxInitialSettlementPopulation","settlementNumber","probOpenness","[step]","totalPopulation","migrationEvents"
"1","0.1","true","3","48","0","11","6","28","0.1","250","1391","26"
"2","0.1","true","3","48","0","11","6","28","0.2","250","1603","35"
"3","0.1","true","3","48","0","11","6","28","0.3","250","1583","65"
"4","0.1","true","3","48","0","11","6","28","0.4","250","1619","72"
"6","0.1","true","3","48","0","11","6","28","0.6","250","2514","76"
"11","0.1","true","3","48","1","11","6","28","0.1","250","3","40"
"12","0.1","true","3","48","1","11","6","28","0.2","250","4","49"
"13","0.1","true","3","48","1","11","6","28","0.3","250","229","92"
"14","0.1","true","3","48","1","11","6","28","0.4","250","230","91"
"8","0.1","true","3","48","0","11","6","28","0.8","250","1839","86"
"5","0.1","true","3","48","0","11","6","28","0.5","250","2979","76"
"7","0.1","true","3","48","0","11","6","28","0.7","250","2047","98"
"18","0.1","true","3","48","1","11","6","28","0.8","250","6","118"
"19","0.1","true","3","48","1","11","6","28","0.9","250","8","118"
"9","0.1","true","3","48","0","11","6","28","0.9","250","1842","78"
"15","0.1","true","3","48","1","11","6","28","0.5","250","228","100"
"16","0.1","true","3","48","1","11","6","28","0.6","250","234","138"
"17","0.1","true","3","48","1","11","6","28","0.7","250","222","106"
"10","0.1","true","3","48","0","11","6","28","1","250","1865","101"
"21","0.1","true","3","48","2","11","6","28","0.1","250","247","45"
"24","0.1","true","3","48","2","11","6","28","0.4","250","228","104"
"23","0.1","true","3","48","2","11","6","28","0.3","250","239","142"
"20","0.1","true","3","48","1","11","6","28","1","250","464","113"
"22","0.1","true","3","48","2","11","6","28","0.2","250","460","111"
"25","0.1","true","3","48","2","11","6","28","0.5","250","244","77"
"28","0.1","true","3","48","2","11","6","28","0.8","250","229","78"
"26","0.1","true","3","48","2","11","6","28","0.6","250","233","79"
"31","0.1","true","3","48","3","11","6","28","0.1","250","0","96"
"33","0.1","true","3","48","3","11","6","28","0.3","250","0","110"
"32","0.1","true","3","48","3","11","6","28","0.2","250","0","98"
"27","0.1","true","3","48","2","11","6","28","0.7","250","248","103"
"34","0.1","true","3","48","3","11","6","28","0.4","250","0","128"
"36","0.1","true","3","48","3","11","6","28","0.6","250","0","145"
"37","0.1","true","3","48","3","11","6","28","0.7","250","0","106"
"35","0.1","true","3","48","3","11","6","28","0.5","250","0","171"
"38","0.1","true","3","48","3","11","6","28","0.8","250","0","121"
"39","0.1","true","3","48","3","11","6","28","0.9","250","0","96"
"40","0.1","true","3","48","3","11","6","28","1","250","0","103"
"42","0.1","true","3","48","4","11","6","28","0.2","250","0","103"
"43","0.1","true","3","48","4","11","6","28","0.3","250","0","116"
"44","0.1","true","3","48","4","11","6","28","0.4","250","0","135"
"41","0.1","true","3","48","4","11","6","28","0.1","250","0","111"
"45","0.1","true","3","48","4","11","6","28","0.5","250","1","158"
"48","0.1","true","3","48","4","11","6","28","0.8","250","0","141"
"46","0.1","true","3","48","4","11","6","28","0.6","250","0","140"
"47","0.1","true","3","48","4","11","6","28","0.7","250","0","137"
"50","0.1","true","3","48","4","11","6","28","1","250","0","104"
"49","0.1","true","3","48","4","11","6","28","0.9","250","0","128"
"29","0.1","true","3","48","2","11","6","28","0.9","250","241","92"
"30","0.1","true","3","48","2","11","6","28","1","250","469","97"
"54","0.1","true","3","48","5","11","6","28","0.4","250","482","104"
"55","0.1","true","3","48","5","11","6","28","0.5","250","477","140"
"53","0.1","true","3","48","5","11","6","28","0.3","250","563","60"
"51","0.1","true","3","48","5","11","6","28","0.1","250","743","69"
"52","0.1","true","3","48","5","11","6","28","0.2","250","785","81"
"56","0.1","true","3","48","5","11","6","28","0.6","250","484","161"
"58","0.1","true","3","48","5","11","6","28","0.8","250","462","124"
"57","0.1","true","3","48","5","11","6","28","0.7","250","477","130"
"59","0.1","true","3","48","5","11","6","28","0.9","250","467","176"
"60","0.1","true","3","48","5","11","6","28","1","250","902","158"
"62","0.1","true","3","48","6","11","6","28","0.2","250","1161","63"
"64","0.1","true","3","48","6","11","6","28","0.4","250","1160","103"
"61","0.1","true","3","48","6","11","6","28","0.1","250","1357","63"
"66","0.1","true","3","48","6","11","6","28","0.6","250","911","83"
"63","0.1","true","3","48","6","11","6","28","0.3","250","1383","80"
"71","0.1","true","3","48","7","11","6","28","0.1","250","236","85"
"67","0.1","true","3","48","6","11","6","28","0.7","250","699","65"
"72","0.1","true","3","48","7","11","6","28","0.2","250","242","94"
"69","0.1","true","3","48","6","11","6","28","0.9","250","688","99"
"68","0.1","true","3","48","6","11","6","28","0.8","250","703","89"
"65","0.1","true","3","48","6","11","6","28","0.5","250","1597","147"
"73","0.1","true","3","48","7","11","6","28","0.3","250","463","97"
"74","0.1","true","3","48","7","11","6","28","0.4","250","452","112"
"70","0.1","true","3","48","6","11","6","28","1","250","906","123"
"75","0.1","true","3","48","7","11","6","28","0.5","250","458","109"
"76","0.1","true","3","48","7","11","6","28","0.6","250","450","122"
"81","0.1","true","3","48","8","11","6","28","0.1","250","235","47"
"82","0.1","true","3","48","8","11","6","28","0.2","250","228","55"
"78","0.1","true","3","48","7","11","6","28","0.8","250","458","83"
"83","0.1","true","3","48","8","11","6","28","0.3","250","237","63"
"85","0.1","true","3","48","8","11","6","28","0.5","250","243","100"
"77","0.1","true","3","48","7","11","6","28","0.7","250","919","115"
"80","0.1","true","3","48","7","11","6","28","1","250","679","107"
"84","0.1","true","3","48","8","11","6","28","0.4","250","466","96"
"88","0.1","true","3","48","8","11","6","28","0.8","250","236","114"
"91","0.1","true","3","48","9","11","6","28","0.1","250","0","79"
"92","0.1","true","3","48","9","11","6","28","0.2","250","0","112"
"93","0.1","true","3","48","9","11","6","28","0.3","250","0","110"
"94","0.1","true","3","48","9","11","6","28","0.4","250","0","101"
"95","0.1","true","3","48","9","11","6","28","0.5","250","0","107"
"96","0.1","true","3","48","9","11","6","28","0.6","250","0","89"
"97","0.1","true","3","48","9","11","6","28","0.7","250","0","116"
"98","0.1","true","3","48","9","11","6","28","0.8","250","0","94"
"99","0.1","true","3","48","9","11","6","28","0.9","250","0","99"
"100","0.1","true","3","48","9","11","6","28","1","250","0","102"
"89","0.1","true","3","48","8","11","6","28","0.9","250","246","83"
"79","0.1","true","3","48","7","11","6","28","0.9","250","1085","146"
"86","0.1","true","3","48","8","11","6","28","0.6","250","681","70"
"90","0.1","true","3","48","8","11","6","28","1","250","463","78"
"87","0.1","true","3","48","8","11","6","28","0.7","250","670","94"
